year,league,team,player_name,player_id,mlb_team,position,salary,status,eligibility,roster_section
2024,al,Andy Andres,Mauricio Dubon,5380,Atl,SW,0,res,"OF,2B,3B,SW,1B,INF,SS",reserved
2024,al,Andy Andres,Liam Hendriks,3659,Min,P,0,dis,P,reserved
2024,al,Andy Andres,James McArthur,7897,KC,P,0,dis,P,reserved
2024,al,Howard Bender,Spencer Torkelson,7073,Det,1B,21,act,"1B,INF,SW",active
2024,al,Howard Bender,Gleyber Torres,4619,Det,2B,24,act,"2B,INF,SW",active
2024,al,Howard Bender,Brayan Rocchio,6846,Cle,SS,2,act,"SS,INF,SW",active
2024,al,Howard Bender,Jordan Westburg,7381,Bal,3B,11,act,"3B,2B,INF,SW",active
2024,al,Howard Bender,Colton Cowser,7749,Bal,OF,6,act,"OF,SW",active
2024,al,Howard Bender,Matt Vierling,7774,Det,OF,1,act,"OF,3B,SW,INF",active
2024,al,Howard Bender,Mickey Moniak,5792,Col,OF,2,act,"OF,SW",active
2024,al,Howard Bender,Julio Rodriguez,6579,Sea,OF,42,act,"OF,SW",active
2024,al,Howard Bender,Adley Rutschman,6876,Bal,C,28,act,"C,SW",active
2024,al,Howard Bender,Korey Lee,7048,CWS,C,2,act,"C,SW",active
2024,al,Howard Bender,Riley Greene,6953,Det,UT,20,act,"OF,SW",active
2024,al,Howard Bender,Javier Baez,3804,Det,INF,4,act,"SS,SW,INF",active
2024,al,Howard Bender,D.J. LeMahieu,3275,NYY,SW,8,act,"UT,3B,1B,SW,INF",active
2024,al,Howard Bender,Phil Maton,6036,ChC,P,18,act,P,active
2024,al,Howard Bender,Hunter Brown,7592,Hou,P,14,act,P,active
2024,al,Howard Bender,Griffin Jax,4039,TB,P,1,act,P,active
2024,al,Howard Bender,Zack Kelly,7910,Bos,P,6,act,P,active
2024,al,Howard Bender,Tayler Scott,6243,Atl,P,18,act,P,active
2024,al,Howard Bender,Paul Blackburn,5817,NYY,P,0,act,P,active
2024,al,Howard Bender,Clay Holmes,5889,NYM,P,19,act,P,active
2024,al,Howard Bender,Dane Dunning,5973,Sea,P,2,act,P,active
2024,al,Howard Bender,Pablo Lopez,6227,Min,P,26,act,P,active
2024,al,Howard Bender,Cole Ragans,5800,KC,P,16,act,P,active
2024,al,Howard Bender,Dominic Fletcher,7386,Pit,OF,0,res,"OF,SW",reserved
2024,al,Howard Bender,Nick Vespi,7992,Phi,P,6,res,P,reserved
2024,al,Howard Bender,Reese Olson,8136,Det,P,4,dis,P,reserved
2024,al,Mike Podhorzer,Nate Lowe,6652,Cin,1B,13,act,"1B,INF,SW",active
2024,al,Mike Podhorzer,Brandon Lowe,6565,Pit,2B,10,act,"2B,1B,SW,INF",active
2024,al,Mike Podhorzer,Carlos Correa,4010,Hou,SS,14,act,"SS,INF,SW",active
2024,al,Mike Podhorzer,Jazz Chisholm,6130,NYY,3B,822,act,"UT,OF,3B,SW",active
2024,al,Mike Podhorzer,Jake Meyers,7399,Hou,OF,9,act,"OF,SW",active
2024,al,Mike Podhorzer,Leody Taveras,5412,Bal,OF,12,act,"OF,SW",active
2024,al,Mike Podhorzer,Randy Arozarena,6129,Sea,OF,32,act,"OF,SW",active
2024,al,Mike Podhorzer,Luis Robert,5725,NYM,OF,28,act,"OF,SW",active
2024,al,Mike Podhorzer,Shea Langeliers,6913,Oak,C,8,act,"C,SW",active
2024,al,Mike Podhorzer,Austin Wells,7379,NYY,C,8,act,"C,SW",active
2024,al,Mike Podhorzer,Jose Siri,6249,LAA,UT,12,act,"OF,SW",active
2024,al,Mike Podhorzer,Tyler Soderstrom,7377,Oak,INF,2,act,"UT,1B,SW,C",active
2024,al,Mike Podhorzer,Giancarlo Stanton,2378,NYY,SW,6,act,"OF,SW",active
2024,al,Mike Podhorzer,Byron Buxton,4014,Min,SW,12,act,"OF,SW",active
2024,al,Mike Podhorzer,Garrett Crochet,7365,Bos,P,3,act,P,active
2024,al,Mike Podhorzer,Yariel Rodriguez,8918,Tor,P,0,act,P,active
2024,al,Mike Podhorzer,Bryce Miller,8118,Sea,P,10,act,P,active
2024,al,Mike Podhorzer,Jack Flaherty,5103,Det,P,6,act,P,active
2024,al,Mike Podhorzer,Casey Mize,6499,Det,P,0,act,P,active
2024,al,Mike Podhorzer,Carlos Rodon,4437,NYY,P,8,act,P,active
2024,al,Mike Podhorzer,Kevin Gausman,4053,Tor,P,23,act,P,active
